char	pengim	annot
剔	tek4	
剔	tak4	白
剟	doh4	文
剟	duh8	白
劇	giah8	
剝	bak4	
副	hu3	
割	guah4	
剩	seng5	文
剩	sing5	白
剩	sing7	又
賸	seng5	文
賸	sing5	白
賸	sing7	又
剽	piau1	
剿	cau1	俗
劂	kiak4	bound
劁	ziau1	
劐	hak4	
劓	ngi6	
𠠍	lai3	
劘	mi5	
劙	li5	
岡	gang1	文
岡	gvng1	白
同	dang5	白
同	tong5	文
衕	tong5	
網	mang6	
冏	guang2	
罔	bhuang2	
八	boih4	
兮	hi1	
公	gong1	
公	gang1	方
蘭	lang5	
興	heng1	
興	heng3	
並	beng6	
並	bong6	白
併	beng6	
併	bong6	白
共	gang7	
關	guang1	文
關	guen1	白
兵	bian1	
弟	di6	
谷	gok4	
谷	iok8	
穀	gok4	
其	ki5	
具	gu6	
單	duan1	
單	siang5	
單于	siang5 u1	
典	diang2	
差	ca1	
差	ce1	
差	ci1	bound
前	zoin5	
首	siu2	
酋	iu5	
茲	zv1	
茲	cv5	bound
兼	giam1	
着	dioh4	
著	dioh4	
着	dioh8	
著	dioh8	
黃	vn5	
巽	sung3	
黈	tau3	方 
黌	hong5	
黌	huang5	又
冀	gi6	
黇	tiam1	
馘	gok4	
夔	kui5	
囅	diang2	
人	nang5	訓
人	ring5	文
人	nang7	方
入	rip8	
個	gai5	
個	go6	
個	gai7	方
今	gim1	
從	cong5	
介	gai3	
侖	lung5	
倉	cvng1	
倉	cang1	
令	leng6	
令狐	leng5 hu5	
仝	dang5	白
仝	tong5	文
叢	zang5	
傘	suan3	
全	cuang5	文
全	zvng5	白
會	hue6	
會	hue6	文
會	oi6	白
會	guai3	
合	hah8	
合	hap8	方
合	gah4	方
合	gap4	方
合	ho5	
企	gi6	文
企	kia6	白
衆	zeng3	白
衆	zong3	文
僉	ciam1	
佘	sia5	
余	v5	
舍	sia3	
捨	sia3	
命	meng6	文
命	mian7	白
俞	ru5	
俎	zo2	
俎	zu2	又
禽	kim5	
舒	su1	
僰	pak8	
龠	iak4	
億	ek8	
仁	ring5	
什	zap8	
甚	sim6	
甚	sip8	又
仃	deng1	
仆	hu3	
仆	pok4	又
僕	bok8	
仉	zion2	
仇	ciu5	
化	hue3	
化	hue1	
仍	reng5	
僅	gvng2	
仂	lek8	
們	mung5	
仨	san1	
仕	sv6	
仗	ziang6	
付	hu3	
代	toi3	
代	do7	
仙	siang1	
儀	ngi5	
仟	coin1	
仡	kvk4	
仫佬	moh4 lau2	
伋	gip4	
仞	rim2	
他	ta1	
仔	zv2	
仔	gian2	訓
仔	zai2	bound
仔	zv2	
佇	diu2	
伉	kang3	
仿	huang2	
彷彿	huang2 huk4	
伙	hue2	
伙	hue3	方
夥	hue2	
夥	hue3	方
僞	ngui6	
伕	hu1	
傳	tuang5	文
傳	dvng5	白
傳	dvng7	
偉	ui2	
優	iu1	
休	hiu1	
伎	gi6	
伛	u2	
伍	ngou2	+姓
伍	ngou6	
仳	bi2	
伐	huak8	
伐	huah8	方
